2q, intensity
1.120505999999999958e+01,0.000000000000000000e+00
1.122547999999999924e+01,1.500000000000000000e+01
1.124590000000000067e+01,0.000000000000000000e+00
1.126632999999999996e+01,3.900000000000000000e+01
1.128674999999999962e+01,3.900000000000000000e+01
1.130716999999999928e+01,4.100000000000000000e+01
1.132760000000000034e+01,0.000000000000000000e+00
1.134802000000000000e+01,2.400000000000000000e+01
1.136843999999999966e+01,5.000000000000000000e+00
1.138885999999999932e+01,3.100000000000000000e+01
1.140929000000000038e+01,9.000000000000000000e+00
1.142971000000000004e+01,1.400000000000000000e+01
1.145012999999999970e+01,1.800000000000000000e+01
1.147056000000000076e+01,0.000000000000000000e+00
1.149098000000000042e+01,4.000000000000000000e+00
1.151140000000000008e+01,0.000000000000000000e+00
1.153182999999999936e+01,2.700000000000000000e+01
1.155225000000000080e+01,3.000000000000000000e+01
1.157267000000000046e+01,3.100000000000000000e+01
1.159309000000000012e+01,0.000000000000000000e+00
1.161351999999999940e+01,2.000000000000000000e+01
1.163394000000000084e+01,6.000000000000000000e+00
1.165436000000000050e+01,0.000000000000000000e+00
1.167478999999999978e+01,2.300000000000000000e+01
1.169520999999999944e+01,4.200000000000000000e+01
1.171563000000000088e+01,4.200000000000000000e+01
1.173606000000000016e+01,2.200000000000000000e+01
1.175647999999999982e+01,0.000000000000000000e+00
1.177689999999999948e+01,0.000000000000000000e+00
1.179731999999999914e+01,9.000000000000000000e+00
1.181775000000000020e+01,1.000000000000000000e+00
1.183816999999999986e+01,0.000000000000000000e+00
1.185858999999999952e+01,1.700000000000000000e+01
1.187902000000000058e+01,0.000000000000000000e+00
1.189944000000000024e+01,2.100000000000000000e+01
1.191985999999999990e+01,1.000000000000000000e+00
1.194028999999999918e+01,1.200000000000000000e+01
1.196071000000000062e+01,2.500000000000000000e+01
1.198113000000000028e+01,0.000000000000000000e+00
1.200154999999999994e+01,1.400000000000000000e+01
1.202197999999999922e+01,0.000000000000000000e+00
1.204240000000000066e+01,8.000000000000000000e+00
1.206282000000000032e+01,1.700000000000000000e+01
1.208324999999999960e+01,5.200000000000000000e+01
1.210366999999999926e+01,1.300000000000000000e+01
1.212409000000000070e+01,4.900000000000000000e+01
1.214451999999999998e+01,4.100000000000000000e+01
1.216493999999999964e+01,0.000000000000000000e+00
1.218535999999999930e+01,0.000000000000000000e+00
1.220578000000000074e+01,0.000000000000000000e+00
1.222621000000000002e+01,0.000000000000000000e+00
1.224662999999999968e+01,1.100000000000000000e+01
1.226704999999999934e+01,1.600000000000000000e+01
1.228748000000000040e+01,0.000000000000000000e+00
1.230790000000000006e+01,2.800000000000000000e+01
1.232831999999999972e+01,3.300000000000000000e+01
1.234875000000000078e+01,1.800000000000000000e+01
1.236917000000000044e+01,5.000000000000000000e+00
1.238959000000000010e+01,1.800000000000000000e+01
1.241000999999999976e+01,0.000000000000000000e+00
1.243044000000000082e+01,2.600000000000000000e+01
1.245086000000000048e+01,1.600000000000000000e+01
1.247128000000000014e+01,4.100000000000000000e+01
1.249170999999999943e+01,3.300000000000000000e+01
1.251213000000000086e+01,2.300000000000000000e+01
1.253255000000000052e+01,0.000000000000000000e+00
1.255297999999999981e+01,3.100000000000000000e+01
1.257339999999999947e+01,1.800000000000000000e+01
1.259381999999999913e+01,1.000000000000000000e+01
1.261424000000000056e+01,1.400000000000000000e+01
1.263466999999999985e+01,0.000000000000000000e+00
1.265508999999999951e+01,5.000000000000000000e+00
1.267550999999999917e+01,4.300000000000000000e+01
1.269594000000000023e+01,2.500000000000000000e+01
1.271635999999999989e+01,0.000000000000000000e+00
1.273677999999999955e+01,4.400000000000000000e+01
1.275721000000000060e+01,0.000000000000000000e+00
1.277763000000000027e+01,3.800000000000000000e+01
1.279804999999999993e+01,4.400000000000000000e+01
1.281846999999999959e+01,0.000000000000000000e+00
1.283890000000000065e+01,1.800000000000000000e+01
1.285932000000000031e+01,2.000000000000000000e+00
1.287973999999999997e+01,1.500000000000000000e+01
1.290016999999999925e+01,5.400000000000000000e+01
1.292059000000000069e+01,0.000000000000000000e+00
1.294101000000000035e+01,1.600000000000000000e+01
1.296143999999999963e+01,6.000000000000000000e+00
1.298185999999999929e+01,5.000000000000000000e+00
1.300228000000000073e+01,1.200000000000000000e+01
1.302270000000000039e+01,1.100000000000000000e+01
1.304312999999999967e+01,0.000000000000000000e+00
1.306354999999999933e+01,0.000000000000000000e+00
1.308397000000000077e+01,0.000000000000000000e+00
1.310440000000000005e+01,0.000000000000000000e+00
1.312481999999999971e+01,3.000000000000000000e+01
1.314523999999999937e+01,2.300000000000000000e+01
1.316567000000000043e+01,0.000000000000000000e+00
1.318609000000000009e+01,0.000000000000000000e+00
1.320650999999999975e+01,2.700000000000000000e+01
1.322692999999999941e+01,0.000000000000000000e+00
1.324736000000000047e+01,6.600000000000000000e+01
1.326778000000000013e+01,7.000000000000000000e+00
1.328819999999999979e+01,2.500000000000000000e+01
1.330863000000000085e+01,2.800000000000000000e+01
1.332905000000000051e+01,0.000000000000000000e+00
1.334947000000000017e+01,2.000000000000000000e+00
1.336989999999999945e+01,0.000000000000000000e+00
1.339031999999999911e+01,1.200000000000000000e+01
1.341074000000000055e+01,2.100000000000000000e+01
1.343116000000000021e+01,2.100000000000000000e+01
1.345158999999999949e+01,0.000000000000000000e+00
1.347200999999999915e+01,1.400000000000000000e+01
1.349243000000000059e+01,0.000000000000000000e+00
1.351285999999999987e+01,0.000000000000000000e+00
1.353327999999999953e+01,2.100000000000000000e+01
1.355369999999999919e+01,0.000000000000000000e+00
1.357413000000000025e+01,1.200000000000000000e+01
1.359454999999999991e+01,0.000000000000000000e+00
1.361496999999999957e+01,2.700000000000000000e+01
1.363538999999999923e+01,2.700000000000000000e+01
1.365582000000000029e+01,1.600000000000000000e+01
1.367623999999999995e+01,6.000000000000000000e+00
1.369665999999999961e+01,5.100000000000000000e+01
1.371709000000000067e+01,3.300000000000000000e+01
1.373751000000000033e+01,0.000000000000000000e+00
1.375792999999999999e+01,1.300000000000000000e+01
1.377835999999999927e+01,0.000000000000000000e+00
1.379878000000000071e+01,0.000000000000000000e+00
1.381920000000000037e+01,3.100000000000000000e+01
1.383962000000000003e+01,3.000000000000000000e+00
1.386004999999999932e+01,3.300000000000000000e+01
1.388047000000000075e+01,2.400000000000000000e+01
1.390089000000000041e+01,0.000000000000000000e+00
1.392131999999999969e+01,0.000000000000000000e+00
1.394173999999999936e+01,9.000000000000000000e+00
1.396216000000000079e+01,4.400000000000000000e+01
1.398259000000000007e+01,5.300000000000000000e+01
1.400300999999999974e+01,1.800000000000000000e+01
1.402342999999999940e+01,0.000000000000000000e+00
1.404385000000000083e+01,5.600000000000000000e+01
1.406428000000000011e+01,2.000000000000000000e+01
1.408469999999999978e+01,1.900000000000000000e+01
1.410511999999999944e+01,2.800000000000000000e+01
1.412555000000000049e+01,0.000000000000000000e+00
1.414597000000000016e+01,1.000000000000000000e+00
1.416638999999999982e+01,4.000000000000000000e+01
1.418682000000000087e+01,0.000000000000000000e+00
1.420724000000000053e+01,0.000000000000000000e+00
1.422766000000000020e+01,2.000000000000000000e+01
1.424807999999999986e+01,0.000000000000000000e+00
1.426850999999999914e+01,1.700000000000000000e+01
1.428893000000000058e+01,1.800000000000000000e+01
1.430935000000000024e+01,1.400000000000000000e+01
1.432977999999999952e+01,3.000000000000000000e+00
1.435019999999999918e+01,3.700000000000000000e+01
1.437062000000000062e+01,0.000000000000000000e+00
1.439104999999999990e+01,1.100000000000000000e+01
1.441146999999999956e+01,1.500000000000000000e+01
1.443188999999999922e+01,2.000000000000000000e+01
1.445231000000000066e+01,0.000000000000000000e+00
1.447273999999999994e+01,0.000000000000000000e+00
1.449315999999999960e+01,3.800000000000000000e+01
1.451357999999999926e+01,0.000000000000000000e+00
1.453401000000000032e+01,0.000000000000000000e+00
1.455442999999999998e+01,0.000000000000000000e+00
1.457484999999999964e+01,2.000000000000000000e+01
1.459528000000000070e+01,0.000000000000000000e+00
1.461570000000000036e+01,6.000000000000000000e+00
1.463612000000000002e+01,0.000000000000000000e+00
1.465653999999999968e+01,0.000000000000000000e+00
1.467697000000000074e+01,0.000000000000000000e+00
1.469739000000000040e+01,0.000000000000000000e+00
1.471781000000000006e+01,0.000000000000000000e+00
1.473823999999999934e+01,0.000000000000000000e+00
1.475866000000000078e+01,0.000000000000000000e+00
1.477908000000000044e+01,2.100000000000000000e+01
1.479950999999999972e+01,0.000000000000000000e+00
1.481992999999999938e+01,4.700000000000000000e+01
1.484035000000000082e+01,0.000000000000000000e+00
1.486077000000000048e+01,9.000000000000000000e+00
1.488119999999999976e+01,1.800000000000000000e+01
1.490161999999999942e+01,8.000000000000000000e+00
1.492204000000000086e+01,0.000000000000000000e+00
1.494247000000000014e+01,2.100000000000000000e+01
1.496288999999999980e+01,2.100000000000000000e+01
1.498330999999999946e+01,0.000000000000000000e+00
1.500374000000000052e+01,3.300000000000000000e+01
1.502416000000000018e+01,0.000000000000000000e+00
1.504457999999999984e+01,3.300000000000000000e+01
1.506499999999999950e+01,0.000000000000000000e+00
1.508543000000000056e+01,1.300000000000000000e+01
1.510585000000000022e+01,2.400000000000000000e+01
1.512626999999999988e+01,6.300000000000000000e+01
1.514669999999999916e+01,2.300000000000000000e+01
1.516712000000000060e+01,4.700000000000000000e+01
1.518754000000000026e+01,2.200000000000000000e+01
1.520796999999999954e+01,0.000000000000000000e+00
1.522838999999999920e+01,4.900000000000000000e+01
1.524881000000000064e+01,2.300000000000000000e+01
1.526923000000000030e+01,0.000000000000000000e+00
1.528965999999999958e+01,3.000000000000000000e+00
1.531007999999999925e+01,0.000000000000000000e+00
1.533050000000000068e+01,1.800000000000000000e+01
1.535092999999999996e+01,7.000000000000000000e+00
1.537134999999999962e+01,2.100000000000000000e+01
1.539176999999999929e+01,3.000000000000000000e+00
1.541220000000000034e+01,0.000000000000000000e+00
1.543262000000000000e+01,1.100000000000000000e+01
1.545303999999999967e+01,0.000000000000000000e+00
1.547345999999999933e+01,0.000000000000000000e+00
1.549389000000000038e+01,0.000000000000000000e+00
1.551431000000000004e+01,0.000000000000000000e+00
1.553472999999999971e+01,1.000000000000000000e+01
1.555516000000000076e+01,2.000000000000000000e+01
1.557558000000000042e+01,1.700000000000000000e+01
1.559600000000000009e+01,0.000000000000000000e+00
1.561642999999999937e+01,0.000000000000000000e+00
1.563685000000000080e+01,0.000000000000000000e+00
1.565727000000000046e+01,0.000000000000000000e+00
1.567769000000000013e+01,0.000000000000000000e+00
1.569811999999999941e+01,2.300000000000000000e+01
1.571854000000000084e+01,0.000000000000000000e+00
1.573896000000000051e+01,0.000000000000000000e+00
1.575938999999999979e+01,2.200000000000000000e+01
1.577980999999999945e+01,3.200000000000000000e+01
1.580023000000000089e+01,8.000000000000000000e+00
1.582066000000000017e+01,1.500000000000000000e+01
1.584107999999999983e+01,1.900000000000000000e+01
1.586149999999999949e+01,0.000000000000000000e+00
1.588191999999999915e+01,0.000000000000000000e+00
1.590235000000000021e+01,0.000000000000000000e+00
1.592276999999999987e+01,1.000000000000000000e+00
1.594318999999999953e+01,3.000000000000000000e+00
1.596362000000000059e+01,3.000000000000000000e+01
1.598404000000000025e+01,1.300000000000000000e+01
1.600446000000000168e+01,0.000000000000000000e+00
1.602488999999999919e+01,0.000000000000000000e+00
1.604531000000000063e+01,4.100000000000000000e+01
1.606572999999999851e+01,0.000000000000000000e+00
1.608614999999999995e+01,2.800000000000000000e+01
1.610658000000000101e+01,0.000000000000000000e+00
1.612699999999999889e+01,6.000000000000000000e+00
1.614742000000000033e+01,2.300000000000000000e+01
1.616785000000000139e+01,3.000000000000000000e+00
1.618826999999999927e+01,0.000000000000000000e+00
1.620869000000000071e+01,1.100000000000000000e+01
1.622912000000000177e+01,2.900000000000000000e+01
1.624953999999999965e+01,5.000000000000000000e+00
1.626996000000000109e+01,0.000000000000000000e+00
1.629037999999999897e+01,0.000000000000000000e+00
1.631081000000000003e+01,0.000000000000000000e+00
1.633123000000000147e+01,0.000000000000000000e+00
1.635164999999999935e+01,3.300000000000000000e+01
1.637208000000000041e+01,2.500000000000000000e+01
1.639249999999999829e+01,2.600000000000000000e+01
1.641291999999999973e+01,0.000000000000000000e+00
1.643335000000000079e+01,0.000000000000000000e+00
1.645376999999999867e+01,0.000000000000000000e+00
1.647419000000000011e+01,3.300000000000000000e+01
1.649461000000000155e+01,3.100000000000000000e+01
1.651503999999999905e+01,0.000000000000000000e+00
1.653546000000000049e+01,0.000000000000000000e+00
1.655587999999999838e+01,0.000000000000000000e+00
1.657630999999999943e+01,8.000000000000000000e+00
1.659673000000000087e+01,1.300000000000000000e+01
1.661714999999999876e+01,0.000000000000000000e+00
1.663757999999999981e+01,0.000000000000000000e+00
1.665800000000000125e+01,1.800000000000000000e+01
1.667841999999999913e+01,2.500000000000000000e+01
1.669884000000000057e+01,0.000000000000000000e+00
1.671927000000000163e+01,2.300000000000000000e+01
1.673968999999999951e+01,0.000000000000000000e+00
1.676011000000000095e+01,1.100000000000000000e+01
1.678053999999999846e+01,2.500000000000000000e+01
1.680095999999999989e+01,2.100000000000000000e+01
1.682138000000000133e+01,5.000000000000000000e+01
1.684180999999999884e+01,3.000000000000000000e+00
1.686223000000000027e+01,3.600000000000000000e+01
1.688265000000000171e+01,1.800000000000000000e+01
1.690306999999999960e+01,4.200000000000000000e+01
1.692350000000000065e+01,2.100000000000000000e+01
1.694391999999999854e+01,0.000000000000000000e+00
1.696433999999999997e+01,0.000000000000000000e+00
1.698477000000000103e+01,8.000000000000000000e+00
1.700518999999999892e+01,0.000000000000000000e+00
1.702561000000000035e+01,1.900000000000000000e+01
1.704604000000000141e+01,2.000000000000000000e+00
1.706645999999999930e+01,0.000000000000000000e+00
1.708688000000000073e+01,0.000000000000000000e+00
1.710729999999999862e+01,2.800000000000000000e+01
1.712772999999999968e+01,2.100000000000000000e+01
1.714815000000000111e+01,0.000000000000000000e+00
1.716856999999999900e+01,0.000000000000000000e+00
